,counts
BDF2_1_KO48,0.05231720943080198
BDF3_1_KO24,-0.4707898855487347
BET151_1_Drug12h,-0.44460387434051185
BET151_1_Drug24h,-1.112831615879177
BET151_1_Drug3h,0.03768024592380037
BET151_1_Drug48h,-2.9300441115359828
BET151_1_Drug6h,-0.33192839124497375
BET151_1_Drug72h,-3.4432180214993977
CAF1b_1_RNAi24,-0.3886604285744717
CFB2_1_RNAi9,-0.21286017735827834
DFO_1_DFO,0.03604365820236133
DFO_1_DFOFe,-0.0262963193131327
DFO_1_Fe,0.05541613878949825
DRBD18_1_RNAi12,-0.30518491110026424
H1_1_RNAi96,-0.5209611364157958
H3H4_1_KOH3,-0.2913133903846923
H3H4_1_KOH3J,-0.10984330815120025
H3H4_1_KOH4,-0.6261233921650877
H3H4_1_KOH4J,-0.587774319806794
H3H4_1_KOJ2,-0.8839214191614975
H3H4_2_KO48,-1.3076234724816889
H3H4_3_KO48,-1.944754775758435
H3_1_KOH3,-0.0632425782067827
H3_1_KOH3J,0.09062322056409222
H3_1_KOJ,0.009220482854859213
IPMK_1_RNAi36,-0.3037162199068355
IPMK_2_RNAi36,-0.15822799108842212
MCMBP_1_KO24,-0.16567512276160556
MCMBP_1_KO48,-0.6585970771235825
PIP5Pase_1_KO,-0.9205716420144032
PIP5Pase_2_D360A_N362A,3.1397557848927775
PNUTS_1_RNAi48,-0.08904151102312419
RBP10_1_RNAi24,-0.795261562642084
RBP10_2_RNAi24,-0.682687045548926
RBP10_3_RNAi24,-0.679670899670743
RBP33_1_RNAi48,-1.0193767855350817
RBP42_1_KO24,0.16533695108697266
RBP42_1_KO48,-0.016564083115996553
RBP42_1_KO72,-0.20010407810841357
RNaseH1_1_KO,-0.13650676239671888
RNaseH2A_1_RNAi24,-0.35463559997556615
RNaseH2A_2_RNAi36,-1.2968386217478631
SET27_1_KO,0.18501859263707487
SET27_1_sKO,-0.10472000510145918
SNF2PH_1_RNAi48,-0.011271915301245272
TFR_1_RNAi24,-0.04999091646982379
TbATR_1_RNAi24,-0.19416350586061526
TbATR_2_RNAi36,-0.6047701468578577
TbESB1_1_RNAi24,-1.7081122989230781
TbESB1_2_KO48,-2.3569584411512245
TbESB1_3_OE24,-0.21783804616437408
TbHAT_1_RNAi48HAT1,-0.22338020947534964
TbHAT_1_RNAi48HAT2,-0.2045084900929215
TbPP1one_1_RNAi24,-0.15336274108478065
TbPP1seven_1_RNAi24,-0.618732900635619
TbRAP1_1_2SD,-1.3277924451317578
TbRAP1_1_5A,-1.9626934512317167
TbRAP1_1_KO,-0.42621039626716595
TbRAP1_2_dMyb,-0.7020750697380098
TbSAP_1_RNAi72,0.01027141349267957
VEX1_1_Oe72,-0.19091359910415306
VEX1_2_RNAi72,0.08784424825827664
VEX1_4_RNAi24,-0.022191046908853096
VEX1_5_RNAi48,-0.11698774692341019
VEX1_6_RNAi72,-0.0099614541779669
VEX1and2_1_RNAi24,-0.49081950483948233
VEX1and2_1_RNAi48,-0.8951535801408568
VEX2_1_RNAi24,-0.5396708093531934
VEX2_1_RNAi48,-0.5924995058958569
ZC3H28_1_RNAi10,-0.15541871664878748
ZC3H28_1_RNAi14,-0.9295602870454509
ZC3H28_1_RNAi16,-0.7544722734325031
ZC3H28_1_RNAi24,-1.093639268431529
ZC3H40_1_RNAi72,-0.23670851816755345
ZC3H5_2_RNAi12,-0.1381675966766025
ZC3H5_3_RNAi12,0.02413299821636805
ZC3H5_4_RNAi12,0.5463212600055023
ZC3H5_5_RNAi12,-0.06310580038113933
