"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"ERX1399892","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328272/ERR1328272.fastq.gz","","ERR1328272","ERX1399892","SAMEA3902954","ERS1090088","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi +tet Free mono A","E-MTAB-4564:BS RNAi +tet Free mono A","E-MTAB-4564:BS RNAi +tet Free mono A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi +tet Free mono A","Illumina HiSeq 2000","ILLUMINA","1325369385","25987635","5691","Trypanosoma brucei","BS RNAi +tet Free mono A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","bb0e33ca210d6694931e7fbdccdd0db0","964082564","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328272/ERR1328272.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328272/ERR1328272.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/002/ERR1328272/ERR1328272.fastq.gz"
"ERX1399893","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328273/ERR1328273.fastq.gz","","ERR1328273","ERX1399893","SAMEA3902955","ERS1090089","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi +tet Free mono B","E-MTAB-4564:BS RNAi +tet Free mono B","E-MTAB-4564:BS RNAi +tet Free mono B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi +tet Free mono B","Illumina HiSeq 2000","ILLUMINA","1443045408","28295008","5691","Trypanosoma brucei","BS RNAi +tet Free mono B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","8ebbf83c667857b17e6ff46bb1a7eb10","1114229474","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328273/ERR1328273.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328273/ERR1328273.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/003/ERR1328273/ERR1328273.fastq.gz"
"ERX1399894","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328274/ERR1328274.fastq.gz","","ERR1328274","ERX1399894","SAMEA3902956","ERS1090090","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi +tet input A","E-MTAB-4564:BS RNAi +tet input A","E-MTAB-4564:BS RNAi +tet input A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi +tet input A","Illumina HiSeq 2000","ILLUMINA","1245870432","24428832","5691","Trypanosoma brucei","BS RNAi +tet input A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","cfd0474a671e62fd282e7752bf46f913","947308871","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328274/ERR1328274.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328274/ERR1328274.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/004/ERR1328274/ERR1328274.fastq.gz"
"ERX1399895","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328275/ERR1328275.fastq.gz","","ERR1328275","ERX1399895","SAMEA3902957","ERS1090091","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi +tet input B","E-MTAB-4564:BS RNAi +tet input B","E-MTAB-4564:BS RNAi +tet input B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi +tet input B","Illumina HiSeq 2000","ILLUMINA","1372583145","26913395","5691","Trypanosoma brucei","BS RNAi +tet input B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","f9066cc23877122fc82243f19b5c539e","1025507010","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328275/ERR1328275.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328275/ERR1328275.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/005/ERR1328275/ERR1328275.fastq.gz"
"ERX1399896","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328276/ERR1328276.fastq.gz","","ERR1328276","ERX1399896","SAMEA3902958","ERS1090092","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi +tet poly A","E-MTAB-4564:BS RNAi +tet poly A","E-MTAB-4564:BS RNAi +tet poly A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi +tet poly A","Illumina HiSeq 2000","ILLUMINA","1709851347","33526497","5691","Trypanosoma brucei","BS RNAi +tet poly A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","3053878402d9bb6a68ff2c0e4d838973","1255607506","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328276/ERR1328276.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328276/ERR1328276.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/006/ERR1328276/ERR1328276.fastq.gz"
"ERX1399897","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328277/ERR1328277.fastq.gz","","ERR1328277","ERX1399897","SAMEA3902959","ERS1090093","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi +tet poly B","E-MTAB-4564:BS RNAi +tet poly B","E-MTAB-4564:BS RNAi +tet poly B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi +tet poly B","Illumina HiSeq 2000","ILLUMINA","1751384727","34340877","5691","Trypanosoma brucei","BS RNAi +tet poly B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","46c19863f9c6790fa99d1657de2843e3","1276127186","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328277/ERR1328277.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328277/ERR1328277.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/007/ERR1328277/ERR1328277.fastq.gz"
"ERX1399898","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR1328278/ERR1328278.fastq.gz","","ERR1328278","ERX1399898","SAMEA3902960","ERS1090094","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi -tet Free mono A","E-MTAB-4564:BS RNAi -tet Free mono A","E-MTAB-4564:BS RNAi -tet Free mono A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi -tet Free mono A","Illumina HiSeq 2000","ILLUMINA","993972558","19489658","5691","Trypanosoma brucei","BS RNAi -tet Free mono A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","ad8bad70c5f3965fd810ca46e2d19a58","764215172","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR1328278/ERR1328278.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR1328278/ERR1328278.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/008/ERR1328278/ERR1328278.fastq.gz"
"ERX1399899","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/009/ERR1328279/ERR1328279.fastq.gz","","ERR1328279","ERX1399899","SAMEA3902961","ERS1090095","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi -tet Free mono B","E-MTAB-4564:BS RNAi -tet Free mono B","E-MTAB-4564:BS RNAi -tet Free mono B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi -tet Free mono B","Illumina HiSeq 2000","ILLUMINA","2469478191","48421141","5691","Trypanosoma brucei","BS RNAi -tet Free mono B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","ec02c7e8961335374c97b3ec9710fb63","1714713458","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/009/ERR1328279/ERR1328279.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/009/ERR1328279/ERR1328279.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/009/ERR1328279/ERR1328279.fastq.gz"
"ERX1399900","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR1328280/ERR1328280.fastq.gz","","ERR1328280","ERX1399900","SAMEA3902962","ERS1090096","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi -tet input A","E-MTAB-4564:BS RNAi -tet input A","E-MTAB-4564:BS RNAi -tet input A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi -tet input A","Illumina HiSeq 2000","ILLUMINA","1280221278","25102378","5691","Trypanosoma brucei","BS RNAi -tet input A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","8e54f704558bbc356778b66cad919c2e","954649663","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR1328280/ERR1328280.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR1328280/ERR1328280.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/000/ERR1328280/ERR1328280.fastq.gz"
"ERX1399901","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR1328281/ERR1328281.fastq.gz","","ERR1328281","ERX1399901","SAMEA3902963","ERS1090097","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi -tet input B","E-MTAB-4564:BS RNAi -tet input B","E-MTAB-4564:BS RNAi -tet input B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi -tet input B","Illumina HiSeq 2000","ILLUMINA","1295008473","25392323","5691","Trypanosoma brucei","BS RNAi -tet input B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","2aa5063d87928a10fdf179af03b6f04b","983871006","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR1328281/ERR1328281.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR1328281/ERR1328281.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/001/ERR1328281/ERR1328281.fastq.gz"
