,counts
BDF2_1_KO48,0.0011625191820167982
BDF3_1_KO24,-0.008919620886485374
BET151_1_Drug12h,-0.010790928322649638
BET151_1_Drug24h,-0.02187425751068904
BET151_1_Drug3h,0.0010766769259458187
BET151_1_Drug48h,-0.03534898572577927
BET151_1_Drug6h,-0.008362373340291766
BET151_1_Drug72h,-0.036946953733599436
CAF1b_1_RNAi24,-0.012086879589415171
CFB2_1_RNAi9,-0.0020019792438769855
DFO_1_DFO,0.0011985466474251014
DFO_1_DFOFe,-0.0008557219240018857
DFO_1_Fe,0.0018552122098497298
DRBD18_1_RNAi12,-0.0037802455157021804
H1_1_RNAi96,-0.009585361369602384
H3H4_1_KOH3,-0.0093945200511052
H3H4_1_KOH3J,-0.0037667696016889796
H3H4_1_KOH4,-0.018090293220653884
H3H4_1_KOH4J,-0.017193522414203848
H3H4_1_KOJ2,-0.023537783649051704
H3H4_2_KO48,-0.012625015454517285
H3H4_3_KO48,-0.028538751595456824
H3_1_KOH3,-0.001290122289025506
H3_1_KOH3J,0.0019500984644124537
H3_1_KOJ,0.0001928624683203671
IPMK_1_RNAi36,-0.01253633387048221
IPMK_2_RNAi36,-0.006575646788261662
MCMBP_1_KO24,-0.002501316472208786
MCMBP_1_KO48,-0.008450159700305443
PIP5Pase_1_KO,-0.02459660297990932
PIP5Pase_2_D360A_N362A,0.003856447042876611
PNUTS_1_RNAi48,-0.0024223936208581168
RBP10_1_RNAi24,-0.0015167737640425592
RBP10_2_RNAi24,-0.014299024231171034
RBP10_3_RNAi24,-0.012054485768064862
RBP33_1_RNAi48,-0.02227852030313583
RBP42_1_KO24,0.0036388183816672727
RBP42_1_KO48,-0.00034209267074697056
RBP42_1_KO72,-0.003881078889443345
RNaseH1_1_KO,-0.002378353081158569
RNaseH2A_1_RNAi24,-0.01760990742361733
RNaseH2A_2_RNAi36,-0.04147007347378297
SET27_1_KO,0.0051341770928231
SET27_1_sKO,-0.0026270775025417983
SNF2PH_1_RNAi48,-0.0004215715452947008
TFR_1_RNAi24,-0.001852293608425995
TbATR_1_RNAi24,-0.005204844741337533
TbATR_2_RNAi36,-0.015336648092901129
TbESB1_1_RNAi24,-0.03304710914948843
TbESB1_2_KO48,-0.03335208773381453
TbESB1_3_OE24,-0.007213675578497621
TbHAT_1_RNAi48HAT1,-0.002735781582894465
TbHAT_1_RNAi48HAT2,-0.002520683786101704
TbPP1one_1_RNAi24,-0.0015480383623101852
TbPP1seven_1_RNAi24,-0.012499827412225557
TbRAP1_1_2SD,-0.0221365544925115
TbRAP1_1_5A,-0.02735509179162654
TbRAP1_1_KO,-0.009411578623953799
TbRAP1_2_dMyb,-0.01417747886514405
TbSAP_1_RNAi72,0.00019701513916233274
VEX1_1_Oe72,-0.003804904019000868
VEX1_2_RNAi72,0.0017593943463849425
VEX1_4_RNAi24,-0.000599819632555558
VEX1_5_RNAi48,-0.002597748716345407
VEX1_6_RNAi72,-0.00021831466446851217
VEX1and2_1_RNAi24,-0.008614795403333854
VEX1and2_1_RNAi48,-0.013810655744625502
VEX2_1_RNAi24,-0.01994473630942762
VEX2_1_RNAi48,-0.021525563177340966
ZC3H28_1_RNAi10,-0.0022564814360218587
ZC3H28_1_RNAi14,-0.010494522742744518
ZC3H28_1_RNAi16,-0.008997728654760988
ZC3H28_1_RNAi24,-0.011741551359685935
ZC3H40_1_RNAi72,-0.007243127680651218
ZC3H5_2_RNAi12,-0.000680722749461446
ZC3H5_3_RNAi12,0.00012824411229304857
ZC3H5_4_RNAi12,0.009983303251673147
ZC3H5_5_RNAi12,-0.0019597161055319515
